# 6066
# 5976
# First number is number of lines in the file 
# Second number is the number of reactions
# alpha values increased by 1e12 since I treat GRAIN- and GRAIN0 as separate species
  265 C+           NH2          HCN+         H                                        2.70e-09 -5.00e-01  0.00e+00   2
  266 C+           OCN          CO+          CN                                       1.90e-09 -5.00e-01  0.00e+00   2
  267 C+           OCS          CS+          CO                                       1.60e-09 -5.00e-01  0.00e+00   2
  268 C+           OCS          OCS+         C                                        4.00e-10 -5.00e-01  0.00e+00   2
  269 C+           SiC2         SiC2+        C                                        2.97e-09 -5.00e-01  0.00e+00   2
  270 C+           SiH2         SiC+         H2                                       7.93e-11 -5.00e-01  0.00e+00   2
  271 C+           SiH2         CHSi+        H                                        7.93e-11 -5.00e-01  0.00e+00   2
  272 C+           SiH2         SiH2+        C                                        7.93e-11 -5.00e-01  0.00e+00   2
  273 C+           SO2          SO+          CO                                       2.00e-09 -5.00e-01  0.00e+00   2
  274 C+           C2H2         C3H+         H                                        2.70e-09  0.00e+00  0.00e+00   2
  275 C+           C3H          C4+          H                                        8.29e-09 -5.00e-01  0.00e+00   2
  276 C+           HC3          C4+          H                                        1.07e-08 -5.00e-01  0.00e+00   2
  277 C+           C3O          C3+          CO                                       2.34e-09 -5.00e-01  0.00e+00   2
  278 C+           C3O          C3O+         C                                        2.34e-09 -5.00e-01  0.00e+00   2
  279 C+           C3O          C4+          O                                        2.34e-09 -5.00e-01  0.00e+00   2
  280 C+           C3P          C4+          P                                        1.22e-09 -5.00e-01  0.00e+00   2
  281 C+           C3S          C3S+         C                                        2.36e-09 -5.00e-01  0.00e+00   2
  282 C+           C3S          C4+          S                                        2.36e-09 -5.00e-01  0.00e+00   2
  283 C+           CH3          C2H+         H2                                       1.00e-09  0.00e+00  0.00e+00   2
  284 C+           CH3          C2H2+        H                                        1.00e-09  0.00e+00  0.00e+00   2
  285 C+           CH3          CH3+         C                                        1.00e-09  0.00e+00  0.00e+00   2
  286 C+           H2CO         CH2+         CO                                       1.50e-09 -5.00e-01  0.00e+00   2
  287 C+           H2CO         HCO+         CH                                       6.50e-10 -5.00e-01  0.00e+00   2
  288 C+           H2CO         H2CO+        C                                        9.60e-10 -5.00e-01  0.00e+00   2
  289 C+           H2CS         CH2+         CS                                       2.10e-09 -5.00e-01  0.00e+00   2
  290 C+           H2SiO        H2SiO+       C                                        2.51e-09 -5.00e-01  0.00e+00   2
  291 C+           HCCP         CP+          C2H                                      5.00e-10  0.00e+00  0.00e+00   2
  292 C+           HCCP         CCP+         CH                                       5.00e-10  0.00e+00  0.00e+00   2
  293 C+           NH3          HCN+         H2                                       1.08e-10 -5.00e-01  0.00e+00   2
