# 15762
# 15711
# First number is number of lines in the file 
# Second number is the number of reactions
  198 HDCS         CRP          HD           CS                                       1.95E-14  0.00E+00  0.00E+00  46
  199 D2CS         CRP          D2           CS                                       1.95E-14  0.00E+00  0.00E+00  46
  200 H2O2         CRP          OH           OH                                       1.95E-14  0.00E+00  0.00E+00  46
  201 HDO2         CRP          OD           OH                                       1.95E-14  0.00E+00  0.00E+00  46
  202 D2O2         CRP          OD           OD                                       1.95E-14  0.00E+00  0.00E+00  46
  203 H2S2         CRP          HS           HS                                       1.95E-14  0.00E+00  0.00E+00  46
  204 HDS2         CRP          DS           HS                                       1.95E-14  0.00E+00  0.00E+00  46
  205 D2S2         CRP          DS           DS                                       1.95E-14  0.00E+00  0.00E+00  46
  206 H2SiO        CRP          SiO          H2                                       1.95E-14  0.00E+00  0.00E+00  46
  207 HDSiO        CRP          SiO          HD                                       1.95E-14  0.00E+00  0.00E+00  46
  208 D2SiO        CRP          SiO          D2                                       1.95E-14  0.00E+00  0.00E+00  46
  209 HCCP         CRP          CCP          H                                        1.95E-14  0.00E+00  0.00E+00  46
  210 NH3          CRP          NH           H2                                       7.02E-15  0.00E+00  0.00E+00  46
  211 NH2D         CRP          ND           H2                                       2.34E-15  0.00E+00  0.00E+00  46
  212 NH2D         CRP          NH           HD                                       4.68E-15  0.00E+00  0.00E+00  46
  213 NHD2         CRP          ND           HD                                       4.68E-15  0.00E+00  0.00E+00  46
  214 NHD2         CRP          NH           D2                                       2.34E-15  0.00E+00  0.00E+00  46
  215 ND3          CRP          ND           D2                                       7.02E-15  0.00E+00  0.00E+00  46
  216 NH3          CRP          NH2          H                                        1.72E-14  0.00E+00  0.00E+00  46
  217 NH2D         CRP          NHD          H                                        1.15E-14  0.00E+00  0.00E+00  46
  218 NH2D         CRP          NH2          D                                        5.73E-15  0.00E+00  0.00E+00  46
  219 NHD2         CRP          ND2          H                                        5.73E-15  0.00E+00  0.00E+00  46
  220 NHD2         CRP          NHD          D                                        1.15E-14  0.00E+00  0.00E+00  46
  221 ND3          CRP          ND2          D                                        1.72E-14  0.00E+00  0.00E+00  46
  222 NH3          CRP          NH3+         E                                        7.47E-15  0.00E+00  0.00E+00  46
  223 NH2D         CRP          NH2D+        E                                        7.47E-15  0.00E+00  0.00E+00  46
  224 NHD2         CRP          NHD2+        E                                        7.47E-15  0.00E+00  0.00E+00  46
  225 ND3          CRP          ND3+         E                                        7.47E-15  0.00E+00  0.00E+00  46
  226 SiC2H        CRP          SiC2         H                                        1.95E-14  0.00E+00  0.00E+00  46
  227 SiC3         CRP          SiC2         C                                        1.95E-14  0.00E+00  0.00E+00  46
  228 SiCH2        CRP          SiC          H2                                       1.95E-14  0.00E+00  0.00E+00  46
  229 SiCHD        CRP          SiC          HD                                       1.95E-14  0.00E+00  0.00E+00  46
  230 SiCD2        CRP          SiC          D2                                       1.95E-14  0.00E+00  0.00E+00  46
  231 SiH3         CRP          SiH2         H                                        1.95E-14  0.00E+00  0.00E+00  46
  232 SiH2D        CRP          SiHD         H                                        1.30E-14  0.00E+00  0.00E+00  46
  233 SiH2D        CRP          SiH2         D                                        6.50E-15  0.00E+00  0.00E+00  46
  234 SiHD2        CRP          SiD2         H                                        6.50E-15  0.00E+00  0.00E+00  46
  235 SiHD2        CRP          SiHD         D                                        1.30E-14  0.00E+00  0.00E+00  46
  236 SiD3         CRP          SiD2         D                                        1.95E-14  0.00E+00  0.00E+00  46
  237 C2H2N        CRP          CH2          CN                                       6.50E-14  0.00E+00  0.00E+00  46
  238 C2H2O        CRP          CH2          CO                                       1.19E-14  0.00E+00  0.00E+00  46
  239 C2H2O        CRP          C2H2O+       E                                        1.59E-14  0.00E+00  0.00E+00  46
  240 C2H3         CRP          C2H2         H                                        1.95E-14  0.00E+00  0.00E+00  46
  241 C2H2D        CRP          C2HD         H                                        1.30E-14  0.00E+00  0.00E+00  46
  242 C2H2D        CRP          C2H2         D                                        6.50E-15  0.00E+00  0.00E+00  46
  243 C2HD2        CRP          C2D2         H                                        6.50E-15  0.00E+00  0.00E+00  46
  244 C2HD2        CRP          C2HD         D                                        1.30E-14  0.00E+00  0.00E+00  46
  245 C2D3         CRP          C2D2         D                                        1.95E-14  0.00E+00  0.00E+00  46
  246 C3H2         CRP          C3H          H                                        6.50E-14  0.00E+00  0.00E+00  46
