# Numerical radiation field:  Lyman-alpha_100km.s-1
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
120.73900 1.80193e+02
120.74000 1.80630e+02
120.74100 1.81070e+02
120.74200 1.81510e+02
120.74300 1.81953e+02
120.74400 1.82397e+02
120.74500 1.82843e+02
120.74600 1.83290e+02
120.74700 1.83739e+02
120.74800 1.84190e+02
120.74900 1.84642e+02
120.75000 1.85096e+02
120.75100 1.85551e+02
120.75200 1.86009e+02
120.75300 1.86468e+02
120.75400 1.86929e+02
120.75500 1.87391e+02
120.75600 1.87855e+02
120.75700 1.88321e+02
120.75800 1.88789e+02
120.75900 1.89258e+02
120.76000 1.89729e+02
120.76100 1.90202e+02
120.76200 1.90677e+02
120.76300 1.91153e+02
120.76400 1.91631e+02
120.76500 1.92111e+02
120.76600 1.92593e+02
120.76700 1.93077e+02
120.76800 1.93562e+02
120.76900 1.94050e+02
120.77000 1.94539e+02
120.77100 1.95030e+02
120.77200 1.95523e+02
120.77300 1.96018e+02
120.77400 1.96514e+02
120.77500 1.97013e+02
120.77600 1.97513e+02
120.77700 1.98016e+02
120.77800 1.98520e+02
120.77900 1.99026e+02
120.78000 1.99534e+02
120.78100 2.00044e+02
120.78200 2.00556e+02
120.78300 2.01070e+02
120.78400 2.01586e+02
120.78500 2.02104e+02
120.78600 2.02624e+02
120.78700 2.03146e+02
120.78800 2.03670e+02
120.78900 2.04197e+02
120.79000 2.04725e+02
120.79100 2.05255e+02
120.79200 2.05787e+02
120.79300 2.06321e+02
120.79400 2.06858e+02
120.79500 2.07396e+02
120.79600 2.07937e+02
120.79700 2.08480e+02
120.79800 2.09024e+02
120.79900 2.09571e+02
120.80000 2.10121e+02
120.80100 2.10672e+02
120.80200 2.11225e+02
120.80300 2.11781e+02
120.80400 2.12339e+02
120.80500 2.12899e+02
120.80600 2.13461e+02
120.80700 2.14026e+02
120.80800 2.14593e+02
120.80900 2.15162e+02
120.81000 2.15733e+02
120.81100 2.16307e+02
120.81200 2.16883e+02
120.81300 2.17461e+02
120.81400 2.18041e+02
120.81500 2.18624e+02
120.81600 2.19209e+02
120.81700 2.19797e+02
120.81800 2.20387e+02
120.81900 2.20979e+02
120.82000 2.21574e+02
120.82100 2.22171e+02
120.82200 2.22770e+02
120.82300 2.23372e+02
120.82400 2.23977e+02
120.82500 2.24584e+02
120.82600 2.25193e+02
120.82700 2.25805e+02
120.82800 2.26419e+02
120.82900 2.27036e+02
120.83000 2.27655e+02
120.83100 2.28277e+02
120.83200 2.28902e+02
120.83300 2.29529e+02
120.83400 2.30158e+02
120.83500 2.30790e+02
120.83600 2.31425e+02
120.83700 2.32063e+02
120.83800 2.32703e+02
120.83900 2.33346e+02
120.84000 2.33991e+02
120.84100 2.34639e+02
120.84200 2.35290e+02
120.84300 2.35943e+02
120.84400 2.36600e+02
120.84500 2.37259e+02
120.84600 2.37920e+02
120.84700 2.38585e+02
120.84800 2.39252e+02
120.84900 2.39923e+02
120.85000 2.40595e+02
120.85100 2.41271e+02
120.85200 2.41950e+02
120.85300 2.42631e+02
120.85400 2.43316e+02
120.85500 2.44003e+02
120.85600 2.44693e+02
120.85700 2.45387e+02
120.85800 2.46083e+02
120.85900 2.46782e+02
120.86000 2.47484e+02
120.86100 2.48189e+02
120.86200 2.48897e+02
120.86300 2.49608e+02
120.86400 2.50323e+02
120.86500 2.51040e+02
120.86600 2.51760e+02
120.86700 2.52484e+02
120.86800 2.53210e+02
120.86900 2.53940e+02
120.87000 2.54673e+02
120.87100 2.55409e+02
120.87200 2.56149e+02
120.87300 2.56891e+02
120.87400 2.57637e+02
120.87500 2.58386e+02
120.87600 2.59138e+02
120.87700 2.59894e+02
120.87800 2.60653e+02
120.87900 2.61415e+02
120.88000 2.62181e+02
120.88100 2.62950e+02
120.88200 2.63722e+02
120.88300 2.64498e+02
120.88400 2.65277e+02
120.88500 2.66060e+02
120.88600 2.66846e+02
120.88700 2.67636e+02
120.88800 2.68429e+02
120.88900 2.69226e+02
120.89000 2.70026e+02
120.89100 2.70830e+02
120.89200 2.71637e+02
120.89300 2.72448e+02
120.89400 2.73263e+02
120.89500 2.74082e+02
120.89600 2.74904e+02
120.89700 2.75730e+02
120.89800 2.76559e+02
120.89900 2.77392e+02
120.90000 2.78229e+02
120.90100 2.79070e+02
120.90200 2.79915e+02
120.90300 2.80764e+02
120.90400 2.81616e+02
120.90500 2.82472e+02
120.90600 2.83333e+02
120.90700 2.84197e+02
120.90800 2.85065e+02
120.90900 2.85937e+02
120.91000 2.86813e+02
120.91100 2.87693e+02
120.91200 2.88578e+02
120.91300 2.89466e+02
120.91400 2.90358e+02
120.91500 2.91255e+02
120.91600 2.92156e+02
120.91700 2.93061e+02
120.91800 2.93970e+02
120.91900 2.94883e+02
120.92000 2.95801e+02
120.92100 2.96723e+02
120.92200 2.97649e+02
120.92300 2.98580e+02
120.92400 2.99515e+02
120.92500 3.00455e+02
120.92600 3.01399e+02
120.92700 3.02347e+02
120.92800 3.03300e+02
120.92900 3.04257e+02
120.93000 3.05219e+02
120.93100 3.06186e+02
120.93200 3.07157e+02
120.93300 3.08133e+02
120.93400 3.09113e+02
120.93500 3.10098e+02
120.93600 3.11088e+02
120.93700 3.12083e+02
120.93800 3.13082e+02
120.93900 3.14086e+02
120.94000 3.15095e+02
120.94100 3.16109e+02
120.94200 3.17128e+02
120.94300 3.18152e+02
120.94400 3.19181e+02
120.94500 3.20214e+02
120.94600 3.21253e+02
120.94700 3.22297e+02
120.94800 3.23346e+02
120.94900 3.24400e+02
120.95000 3.25460e+02
120.95100 3.26524e+02
120.95200 3.27594e+02
120.95300 3.28669e+02
120.95400 3.29750e+02
120.95500 3.30835e+02
120.95600 3.31926e+02
120.95700 3.33023e+02
120.95800 3.34125e+02
120.95900 3.35232e+02
120.96000 3.36345e+02
120.96100 3.37464e+02
120.96200 3.38588e+02
120.96300 3.39718e+02
120.96400 3.40853e+02
120.96500 3.41995e+02
120.96600 3.43142e+02
120.96700 3.44294e+02
120.96800 3.45453e+02
120.96900 3.46617e+02
120.97000 3.47788e+02
120.97100 3.48964e+02
120.97200 3.50146e+02
120.97300 3.51335e+02
120.97400 3.52529e+02
120.97500 3.53730e+02
120.97600 3.54936e+02
120.97700 3.56149e+02
120.97800 3.57368e+02
120.97900 3.58594e+02
120.98000 3.59825e+02
120.98100 3.61064e+02
120.98200 3.62308e+02
120.98300 3.63559e+02
120.98400 3.64817e+02
120.98500 3.66081e+02
120.98600 3.67351e+02
120.98700 3.68629e+02
120.98800 3.69913e+02
120.98900 3.71203e+02
120.99000 3.72501e+02
120.99100 3.73805e+02
120.99200 3.75116e+02
120.99300 3.76435e+02
120.99400 3.77760e+02
120.99500 3.79092e+02
120.99600 3.80431e+02
120.99700 3.81777e+02
120.99800 3.83131e+02
120.99900 3.84492e+02
121.00000 3.85860e+02
121.00100 3.87235e+02
121.00200 3.88618e+02
121.00300 3.90008e+02
121.00400 3.91406e+02
121.00500 3.92811e+02
121.00600 3.94224e+02
121.00700 3.95645e+02
121.00800 3.97073e+02
121.00900 3.98509e+02
121.01000 3.99953e+02
121.01100 4.01404e+02
121.01200 4.02864e+02
121.01300 4.04332e+02
121.01400 4.05807e+02
121.01500 4.07291e+02
121.01600 4.08783e+02
121.01700 4.10283e+02
121.01800 4.11792e+02
121.01900 4.13309e+02
121.02000 4.14834e+02
121.02100 4.16368e+02
121.02200 4.17910e+02
121.02300 4.19461e+02
121.02400 4.21021e+02
121.02500 4.22589e+02
121.02600 4.24166e+02
121.02700 4.25752e+02
121.02800 4.27347e+02
121.02900 4.28951e+02
121.03000 4.30564e+02
121.03100 4.32187e+02
121.03200 4.33818e+02
121.03300 4.35459e+02
121.03400 4.37109e+02
121.03500 4.38768e+02
121.03600 4.40437e+02
121.03700 4.42116e+02
121.03800 4.43804e+02
121.03900 4.45502e+02
121.04000 4.47209e+02
121.04100 4.48927e+02
121.04200 4.50655e+02
121.04300 4.52392e+02
121.04400 4.54140e+02
121.04500 4.55898e+02
121.04600 4.57666e+02
121.04700 4.59444e+02
121.04800 4.61233e+02
121.04900 4.63032e+02
121.05000 4.64842e+02
