# R [arcsec], Z [arcsec], Temperature [K]
1.983190, 0.786678, 29.382595
1.984191, 1.011443, 30.522822
1.987896, 0.874087, 26.297641
1.989820, 0.924034, 25.769417
1.990346, 0.674295, 29.571757
1.992520, 0.536939, 24.927468
1.993949, 0.786678, 30.381839
2.005054, 0.786678, 29.071629
2.005266, 0.911548, 25.499594
2.005764, 0.811652, 26.295385
2.007119, 0.849113, 25.924802
2.010144, 0.674295, 29.422697
2.013314, 0.786678, 30.169511
2.016195, 0.786678, 28.895903
2.019440, 0.986469, 30.338507
2.020929, 0.924034, 25.229994
2.021882, 0.861600, 25.427819
2.023573, 0.736730, 26.535977
2.025545, 0.799165, 24.588859
2.026745, 0.973982, 30.049176
2.027165, 0.724243, 26.590024
2.027472, 0.811652, 28.698067
2.029945, 0.674295, 29.165377
2.029950, 0.287200, 25.123547
2.031086, 0.711756, 26.719748
2.036010, 0.761704, 26.014535
2.037554, 0.337148, 25.145492
2.038882, 0.811652, 28.591891
2.041178, 0.786678, 29.898440
2.041537, 0.761704, 26.105148
2.043452, 0.749217, 26.128567
2.045612, 0.874087, 25.176862
2.048024, 0.749217, 25.992621
2.049751, 0.674295, 28.785675
2.049751, 0.799165, 24.286643
2.050425, 0.811652, 28.411622
2.052641, 0.936521, 29.689317
2.054642, 0.349635, 25.249933
2.056220, 0.799165, 29.630050
2.064880, 0.874087, 24.957104
2.069332, 0.736730, 26.222621
2.069560, 0.674295, 28.606225
2.071916, 0.362122, 23.813782
2.077023, 0.362122, 25.280385
2.084161, 0.874087, 24.725962
2.088803, 0.736730, 28.699566
2.089372, 0.674295, 28.961212
2.091667, 0.549426, 24.214484
2.094171, 0.349635, 23.249593
2.094171, 0.374609, 25.312046
2.103456, 0.874087, 24.541388
2.107007, 0.661808, 29.317291
2.108435, 0.736730, 28.378289
2.111501, 0.387096, 25.130393
2.112377, 0.561913, 24.117491
2.115345, 0.799165, 27.562080
2.116513, 0.337148, 22.601300
2.119493, 0.486991, 24.655210
2.122764, 0.874087, 24.424320
2.126847, 0.661808, 29.391862
2.128074, 0.736730, 27.940198
2.132355, 0.561913, 23.986329
2.134185, 0.786678, 27.299112
2.135295, 0.749217, 24.059205
2.138938, 0.324661, 21.797875
2.142085, 0.874087, 24.347438
2.148832, 0.649322, 29.228853
2.152333, 0.561913, 23.839428
2.154146, 0.761704, 23.325062
2.161445, 0.312174, 20.767214
2.166536, 0.636835, 29.015859
2.172312, 0.586887, 23.666636
2.175782, 0.636835, 26.956416
2.181157, 0.312174, 19.538070
2.187724, 0.911548, 25.876966
2.188487, 0.624348, 28.546100
2.192290, 0.586887, 23.550502
2.195547, 0.611861, 22.956083
2.196292, 0.899061, 25.618503
2.198149, 0.299687, 18.343015
2.198149, 0.624348, 26.631562
2.208320, 0.349635, 16.978034
2.210528, 0.611861, 27.947834
2.211009, 0.511965, 15.628809
2.211576, 0.599374, 23.401051
2.220596, 0.611861, 26.408766
2.222329, 0.661808, 23.053581
2.230563, 0.624348, 23.237945
2.232656, 0.599374, 27.288529
2.240323, 0.611861, 26.283007
2.245947, 0.661808, 23.191810
2.252455, 0.599374, 26.638920
2.253962, 0.736730, 23.198881
2.254867, 0.611861, 26.216459
2.267835, 0.649322, 23.267218
2.272257, 0.599374, 26.031792
2.273927, 0.736730, 23.251789
2.274648, 0.611861, 26.121009
2.289811, 0.661808, 22.949249
2.292063, 0.599374, 26.046872
2.294926, 0.749217, 23.181877
2.296923, 0.624348, 25.766140
2.297354, 0.499478, 25.602983
2.309640, 0.661808, 22.441222
2.309640, 0.586887, 25.881519
2.314883, 0.749217, 23.184315
2.317291, 0.499478, 25.247198
2.323539, 0.624348, 25.467794
2.326371, 0.249739, 22.928033
2.327376, 0.674295, 21.628044
2.327737, 0.549426, 27.126393
2.335975, 0.761704, 23.102284
2.343423, 0.624348, 24.799002
2.347228, 0.549426, 24.800643
2.347228, 0.674295, 20.625464
2.347415, 0.549426, 26.966648
2.357167, 0.749217, 23.007913
2.363310, 0.624348, 23.885999
2.364212, 0.536939, 26.798841
2.365138, 0.536939, 24.087395
2.367082, 0.674295, 19.538321
2.379920, 0.774191, 22.843316
2.381501, 0.611861, 22.870728
2.383198, 0.674295, 18.494115
2.386788, 0.524452, 26.335968
2.386939, 0.524452, 23.642676
2.392856, 0.399582, 17.849236
2.403088, 0.624348, 21.635480
2.403088, 0.774191, 22.714518
2.403642, 0.511965, 25.852762
2.406798, 0.524452, 23.345306
2.416989, 0.599374, 22.968033
2.423365, 0.511965, 25.243061
2.426660, 0.549426, 17.472832
2.426660, 0.799165, 22.619222
2.435730, 0.586887, 22.638227
2.437836, 0.536939, 20.509099
2.445886, 0.499478, 24.667141
2.446524, 0.549426, 17.206915
2.448517, 0.811652, 22.523795
2.452787, 0.324661, 19.166399
2.456875, 0.599374, 22.198760
2.457610, 0.536939, 19.510591
2.466390, 0.549426, 17.006107
2.466390, 0.824139, 22.392831
2.471468, 0.499478, 24.184637
2.475638, 0.462017, 16.871052
2.478114, 0.087409, 18.682218
2.479520, 0.599374, 21.888960
2.488219, 0.836626, 22.105813
2.494211, 0.486991, 23.892064
2.494531, 0.949008, 23.370433
2.495592, 0.462017, 16.740490
2.498049, 0.087409, 18.152784
2.499444, 0.599374, 21.634901
2.500058, 0.736730, 24.349120
2.506128, 0.849113, 21.781620
2.511388, 0.524452, 21.406205
2.514495, 0.949008, 23.396335
2.519369, 0.099896, 17.577529
2.527931, 0.861600, 21.647002
2.531377, 0.324661, 17.083870
2.532699, 0.649322, 21.326767
2.534375, 0.099896, 16.514762
2.534459, 0.949008, 23.416276
2.537922, 0.561913, 16.325300
2.549814, 0.874087, 21.605744
2.551967, 0.312174, 16.796817
2.551967, 0.636835, 21.065068
2.554424, 0.324661, 16.224754
2.556606, 0.949008, 23.353789
2.567652, 0.886574, 21.552788
2.570868, 0.312174, 16.581312
2.575419, 0.337148, 16.002728
2.577799, 0.836626, 21.501442
2.587515, 0.337148, 20.699582
2.587515, 0.861600, 23.257506
2.590861, 0.312174, 16.349700
2.591345, 0.499478, 20.358668
2.596505, 0.324661, 15.712669
2.597739, 0.836626, 21.507908
2.605509, 0.874087, 23.091767
2.610584, 0.412069, 26.846513
2.612616, 0.624348, 21.472293
2.616455, 0.399582, 16.245744
2.616455, 0.324661, 15.270691
2.619011, 0.399582, 20.135365
2.619932, 0.699269, 22.872167
2.622813, 0.437043, 26.918748
2.632596, 0.624348, 21.421786
2.634290, 0.149843, 16.162114
2.635295, 0.312174, 14.823490
2.641900, 0.374609, 20.016498
2.652576, 0.624348, 21.345229
2.654258, 0.299687, 14.632785
2.654258, 0.149843, 15.972166
2.663433, 0.362122, 19.929597
2.672557, 0.624348, 21.237660
2.673340, 0.137356, 15.767670
2.674226, 0.299687, 14.392461
2.683333, 0.362122, 19.826475
2.692538, 0.624348, 21.080527
2.693315, 0.137356, 15.456246
2.695177, 0.287200, 14.152594
2.697485, 0.849113, 25.121434
2.704936, 0.349635, 19.713013
2.706689, 0.699269, 22.718284
2.712519, 0.599374, 20.924528
2.714164, 0.149843, 15.183025
2.715689, 0.699269, 22.766952
2.716217, 0.299687, 13.932498
2.726248, 0.749217, 25.444353
2.726616, 0.337148, 19.590425
2.732501, 0.574400, 20.976647
2.735102, 0.162330, 15.051327
2.737343, 0.312174, 13.826363
2.737670, 0.849113, 24.687238
2.741227, 0.736730, 25.600036
2.742860, 0.836626, 24.520097
2.748373, 0.349635, 19.414994
2.751267, 0.649322, 19.177594
2.752483, 0.574400, 21.049956
2.755065, 0.162330, 14.966350
2.760567, 0.736730, 25.776774
2.769881, 0.811652, 23.996522
2.771811, 0.661808, 19.076626
2.771811, 0.561913, 21.135443
2.772266, 0.424556, 13.856387
2.775028, 0.162330, 14.825513
2.775889, 0.799165, 23.858862
2.779915, 0.736730, 25.958177
2.786258, 0.886574, 22.883481
2.791249, 0.574400, 21.214605
2.791981, 0.799165, 23.688166
2.793196, 0.162330, 14.734056
2.799273, 0.736730, 26.114310
2.804403, 0.549426, 19.135577
2.806143, 0.886574, 23.115272
2.806449, 0.524452, 13.993769
2.810794, 0.586887, 21.484239
2.823575, 0.536939, 14.183351
2.824301, 0.874087, 23.543464
2.824301, 0.549426, 19.282330
2.829173, 0.761704, 22.872909
2.829775, 0.012487, 14.665343
2.835954, 0.749217, 21.790363
2.840838, 0.524452, 14.390218
2.841529, 0.699269, 22.193113
2.844201, 0.549426, 19.392435
2.844201, 0.874087, 23.944727
