# R [arcsec], Z [arcsec], Temperature [K]
2.039865, 0.037461, 15.542366
2.047842, 0.012487, 13.459803
2.050425, 0.012487, 15.721124
2.057974, 0.012487, 13.357072
2.058212, 0.099896, 12.054294
2.062096, 0.012487, 15.615443
2.065244, 0.049948, 15.058350
2.072476, 0.024974, 15.231297
2.073895, 0.012487, 15.463497
2.078133, 0.099896, 12.181912
2.082557, 0.024974, 13.077238
2.089372, 0.049948, 14.731859
2.092903, 0.024974, 12.833574
2.097866, 0.037461, 14.767954
2.099583, 0.087409, 12.367633
2.103389, 0.024974, 12.576147
2.109208, 0.049948, 13.837231
2.110034, 0.037461, 14.357405
2.111501, 0.062435, 14.298151
2.114436, 0.349635, 13.068178
2.116543, 0.362122, 13.257574
2.119493, 0.087409, 12.347497
2.122357, 0.349635, 11.594320
2.128142, 0.037461, 12.299626
2.138829, 0.037461, 12.154392
2.139404, 0.262226, 15.642819
2.141032, 0.074922, 12.215838
2.148127, 0.337148, 11.797831
2.149648, 0.037461, 11.970058
2.156021, 0.212278, 13.823334
2.159317, 0.237252, 15.218783
2.160599, 0.037461, 11.717323
2.161493, 0.337148, 11.764823
2.172312, 0.162330, 14.691598
2.174960, 0.337148, 11.574085
2.178407, 0.224765, 13.719396
2.194070, 0.162330, 14.157246
2.195547, 0.237252, 13.562905
2.200787, 0.324661, 11.593373
2.205924, 0.112383, 11.895970
2.217895, 0.249739, 13.396567
2.231860, 0.124870, 11.930184
2.235090, 0.262226, 13.109697
2.251276, 0.287200, 11.787519
2.254867, 0.262226, 12.809580
2.269683, 0.099896, 12.067358
2.273927, 0.137356, 11.745033
2.277078, 0.274713, 12.082988
2.297882, 0.324661, 13.040042
2.300446, 0.312174, 12.821429
2.315262, 0.274713, 12.404376
2.326427, 0.299687, 12.382022
2.328699, 0.274713, 12.767788
2.342230, 0.249739, 13.134394
2.352410, 0.287200, 11.886134
2.355852, 0.249739, 13.207346
2.357167, 0.124870, 10.103877
2.359382, 0.049948, 12.232469
2.366819, 0.262226, 11.590287
2.372117, 0.387096, 14.262358
2.373412, 0.024974, 12.127304
2.374697, 0.024974, 11.745047
2.375761, 0.012487, 11.966343
2.377107, 0.124870, 10.034097
2.386124, 0.049948, 11.839531
2.392270, 0.012487, 11.796476
2.392856, 0.399582, 14.054005
2.395826, 0.137356, 9.892445
2.400116, 0.012487, 12.175038
2.402842, 0.012487, 13.354222
2.404380, 0.012487, 13.095043
2.407313, 0.024974, 13.260838
2.409313, 0.099896, 12.209515
2.410525, 0.012487, 13.399117
2.411288, 0.087409, 12.016933
2.415778, 0.437043, 14.102996
2.417642, 0.037461, 15.181472
2.423189, 0.024974, 14.894018
2.427054, 0.037461, 15.127448
2.433028, 0.112383, 11.799970
2.448694, 0.012487, 17.296596
2.450623, 0.099896, 11.654699
2.450653, 0.012487, 16.314645
2.451254, 0.049948, 14.589880
2.456052, 0.062435, 13.767180
2.460863, 0.049948, 14.078316
2.461604, 0.049948, 13.065878
2.465967, 0.062435, 13.507118
2.470456, 0.099896, 11.426704
2.471820, 0.049948, 12.543394
2.472837, 0.037461, 12.410318
2.474578, 0.024974, 12.353480
2.477034, 0.024974, 12.321900
2.486258, 0.124870, 11.118032
2.490888, 0.037461, 12.448181
2.493581, 0.012487, 10.719272
